insertion_finder v2.2.1
Query file: /home/oocyst/insertion_finder/fasta/katanvirinae.fasta
Database file: nt
BLASTn search execution time: 9:58:55.988002
Taxids: 2,2157
Element length: 4000-50000
Query coverage: 30-90
Maximum block distance: 50
Element color: [128, 128, 0]

Query ID	Subject ID	Element identification	Element 5' coordinate	Element 3' coordinate	Element length	Valid
UCBT01000010_1	gi|1633805758|gb|CP039888.1|	yes	4860	5778	918	no
UBVP01000023_1	gi|1492999300|gb|CP032923.1|	yes	7526	9817	2291	no
UBJJ01000006_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBSM01000003_1	gi|1633805758|gb|CP039888.1|	yes	5966	7493	1527	no
UCHW01000004_1	gi|2006640111|gb|CP031363.1|	yes	12261	13485	1224	no
UCID01000013_1	gi|1633805758|gb|CP039888.1|	yes	6662	7260	598	no
UCCT01000001_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBTO01000001_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UEGU01000015_1	gi|1633805758|gb|CP039888.1|	yes	14213	15131	918	no
UEHP01000003_1	gi|1633840173|gb|CP039910.1|	yes	4887	4926	39	no
UBJU01000006_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
PGTC01000017_1	gi|1169611727|gb|CP020384.1|	yes	11894	14356	2462	no
UCNT01000005_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBMP01000028_1	no hits	no				no
UBTW01000009_1	gi|2006640111|gb|CP031363.1|	yes	12261	13485	1224	no
UCEJ01000005_1	gi|1633805758|gb|CP039888.1|	yes	12493	14020	1527	no
PVBG01000001_1	gi|659659325|emb|HG938355.1|	yes	7522	20452	12930	yes
UCIZ01000008_1	gi|1633805758|gb|CP039888.1|	yes	12493	14020	1527	no
UBXJ01000012_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UCGM01000006_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBXH01000007_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UCKX01000006_1	gi|1633805758|gb|CP039888.1|	yes	6862	7924	1062	no
UBRZ01000021_1	gi|1268267985|gb|CP021371.1|	yes	6173	6443	270	no
UCDE01000019_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBLC01000026_1	gi|1633805758|gb|CP039888.1|	yes	12493	14020	1527	no
UICO01000009_1	gi|1633805758|gb|CP039888.1|	yes	15737	17542	1805	no
UBOL01000015_1	gi|1633805758|gb|CP039888.1|	yes	5966	7493	1527	no
UEGZ01000045_1	no hits	no				no
UCLI01000001_1	gi|1633805758|gb|CP039888.1|	yes	5966	7493	1527	no
UBUI01000001_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBYJ01000012_1	gi|2006640111|gb|CP031363.1|	yes	12261	13485	1224	no
UBZI01000007_1	gi|1633805758|gb|CP039888.1|	yes	14213	15131	918	no
UCMP01000002_1	gi|1633805758|gb|CP039888.1|	yes	14213	15131	918	no
UCOE01000005_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
QITQ01000003_1	gi|1752852417|gb|CP031598.1|	yes	7418	14633	7215	yes
UBUF01000003_1	gi|1633805758|gb|CP039888.1|	yes	4860	5778	918	no
PHJF01000001_1	gi|2021945010|gb|CP051249.1|	yes	4987	16002	11015	yes
UBNJ01000012_1	gi|2006640111|gb|CP031363.1|	yes	12261	13485	1224	no
UBSX01000010_1	gi|2006640111|gb|CP031363.1|	yes	12261	13485	1224	no
UBYQ01000001_1	gi|2006640111|gb|CP031363.1|	yes	12261	13485	1224	no
UCCP01000006_1	gi|1633805758|gb|CP039888.1|	yes	4860	5778	918	no
UBYD01000001_1	gi|1633805758|gb|CP039888.1|	yes	4860	5778	918	no
QKLQ01000002_1	gi|589085422|gb|CP007236.1|	yes	6349	12416	6067	yes
UEHM01000002_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UCJE01000001_1	gi|1633805758|gb|CP039888.1|	yes	12774	13372	598	no
UBRW01000003_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UCCL01000012_1	gi|1633805758|gb|CP039888.1|	yes	5966	7493	1527	no
AP014801_1	gi|1169615216|gb|CP020385.1|	yes	7332	11086	3754	no
UBOI01000009_1	gi|1633805758|gb|CP039888.1|	yes	5966	7493	1527	no
UBTD01000025_1	gi|1492999300|gb|CP032923.1|	yes	7526	9817	2291	no
PXYL01000009_1	gi|1932469138|gb|CP045496.1|	yes	2664	2835	171	no
UBSC01000005_1	gi|1633805758|gb|CP039888.1|	yes	4860	5778	918	no
UCBN01000002_1	gi|2006640111|gb|CP031363.1|	yes	6647	7871	1224	no
UBKN01000010_1	gi|1633805758|gb|CP039888.1|	yes	14213	15131	918	no
UBXW01000014_1	gi|1492999300|gb|CP032923.1|	yes	4206	6497	2291	no

Processed 55 queries with 4 valid elements
Program execution time: 9:58:57.940379
