Query file: elements.fasta
Database file: patric/Rhodo_Rhizo.fasta
Element length: 5000-150000
Query ID	Subject ID	element identification	element 5' coordinate	element 3' coordinate	element length
AP014801_1	AP014801	no			
PGTC01000017_1	FWFN01000002	no			
PHJF01000001_1	AXBI01000017	yes	4986	16004	11018
PVBG01000001_1	FXAF01000011	yes	7410	20717	13307
PXYL01000009_1	CP017105	no			
QITQ01000003_1	NHTQ01000001	yes	7418	14634	7216
QKLQ01000002_1	CP005950	yes	5196	13174	7978
UBJJ01000006_1	JYFU01000029	no			
UBJU01000006_1	JYFU01000029	no			
UBKN01000010_1	LT009727	yes	6610	12490	5880
UBLC01000026_1	JYFU01000029	no			
UBMP01000028_1	no hits	no			
UBNJ01000012_1	JYFU01000029	no			
UBOI01000009_1	JYFU01000029	no			
UBOL01000015_1	JYFU01000029	no			
UBRW01000003_1	JYFU01000029	no			
UBRZ01000021_1	CP021371	no			
UBSC01000005_1	LT009727	yes	7501	13381	5880
UBSM01000003_1	JYFU01000029	no			
UBSX01000010_1	JYFU01000029	no			
UBTD01000025_1	LN999993	yes	1500	9817	8317
UBTO01000001_1	JYFU01000029	no			
UBTW01000009_1	JYFU01000029	no			
UBUF01000003_1	LT009727	yes	7501	13381	5880
UBUI01000001_1	JYFU01000029	no			
UBVP01000023_1	LN999993	yes	1500	9817	8317
UBXH01000007_1	JYFU01000029	no			
UBXJ01000012_1	JYFU01000029	no			
UBXW01000014_1	LN999993	yes	4206	12523	8317
UBYD01000001_1	LT009727	yes	7501	13381	5880
UBYJ01000012_1	JYFU01000029	no			
UBYQ01000001_1	JYFU01000029	no			
UBZI01000007_1	LT009727	yes	6610	12490	5880
UCBN01000002_1	JYFU01000029	no			
UCBT01000010_1	LT009727	yes	7501	13381	5880
UCCL01000012_1	JYFU01000029	no			
UCCP01000006_1	LT009727	yes	7501	13381	5880
UCCT01000001_1	JYFU01000029	no			
UCDE01000019_1	JYFU01000029	no			
UCEJ01000005_1	JYFU01000029	no			
UCGM01000006_1	JYFU01000029	no			
UCHW01000004_1	JYFU01000029	no			
UCID01000013_1	LT009727	yes	6401	12521	6120
UCIZ01000008_1	JYFU01000029	no			
UCJE01000001_1	LT009727	yes	7513	13633	6120
UCKX01000006_1	LT009727	yes	6610	12484	5874
UCLI01000001_1	JYFU01000029	no			
UCMP01000002_1	LT009727	yes	6610	12490	5880
UCNT01000005_1	JYFU01000029	no			
UCOE01000005_1	JYFU01000029	no			
UEGU01000015_1	LT009727	yes	6610	12490	5880
UEGZ01000045_1	no hits	no			
UEHM01000002_1	JYFU01000029	no			
UEHP01000003_1	LMGN01000011	no			
UICO01000009_1	LXKY01000001	yes	6564	12491	5927
