insertion_finder v2.2.3
Query file: /home/oocyst/insertion_finder/insertion/elements_selected.fasta
Database file: /usr/local/genome/databases/patric/casposons_Patric.fasta
BLASTn search execution time: 0:20:31.548230
Element length: 4000-12000
Query coverage: 30-90
Maximum block distance: 100
Number of threads: 20
Element color: [220, 220, 247]

Query ID	Subject ID	Element identification	Element 5' coordinate	Element 3' coordinate	Element length	Valid
AWFD01000001_1	LXTV01000011	yes	21842	25847	4005	yes
CP000300_1	no hits	no				no
PMUM01000105_1	PLKV01000288	yes	18918	19151	233	no
LJSN01000003_1	CP011533	yes	7100	8444	1344	no
PLKV01000018_1	QHZT01000573	no				no
JJQB01000029_1	RPOV01000786	no				no
JACHIW010000001_1	QBKV01000002	yes	7527	24726	17199	no
MNHP01000123_1	no hits	no				no
PLIZ01000661_1	PKXQ01000101	yes	1	297	296	no
CP011344_1	LAPR01000005	yes	17155	26197	9042	yes
CP003083_1	FQYQ01000005	no				no
AJVJ01000024_1	BFAQ01000019	no				no
DHWS01000021_1	DHIQ01000140	yes	21140	21431	291	no
ABSD01000049_1	no hits	no				no
PKXQ01000109_1	PKYY01000147	yes	16233	21234	5001	yes
AXDB01000087_1	SIXH01000098	yes	13868	16171	2303	no
VIAQ01000007_1	1773.19244.con.1676	no				no
JJPR01000125_1	QJZY01000002	no				no
JABCZL010000004_1	PMUM01000105	yes	11588	18913	7325	yes
PLDY01000010_1	SCUE01000034	yes	3245	5425	2180	no
JACCWE010000059_1	JACDDY010000330	no				no
JAACRV010000004_1	JAACUL010000362	no				no
RHCM01000037_1	no hits	no				no
NVWP01000005_1	PAXC01000022	yes	13387	25510	12123	no
PKXG01000157_1	PLDN01000136	yes	15671	17446	1775	no
AE008384_1	RPOV01000786	no				no
WUBR01000002_1	QYOS01000025	yes	7883	19691	11808	yes
FRFC01000004_1	CACZBT010000099	no				no
LKAZ01000051_1	RPOV01000021	no				no
JJQA01000117_1	RPOV01000786	no				no
NZCY01000283_1	RFGL01000151	no				no
CAIUAX010000002_1	CAIOJV010000030	yes	1	2356	2355	no
JAALKE010000008_1	DEIJ01000083	no				no
JJPY01000064_1	UQKK01000040	no				no
NZHG01000009_1	PBNO01000002	yes	13508	15810	2302	no
