insertion_finder v2.1.2
Query file: /home/oocyst/insertion_finder/fasta/microviridae.fasta
Database file: /usr/local/genome/databases/patric/microviridae_Patric.fasta
Element length: 4000-50000
Query coverage: 30-90
Maximum block distance: 50
Number of threads: 18
Element color: [255, 0, 0]

Query ID	Subject ID	Element identification	Element 5' coordinate	Element 3' coordinate	Element length	Valid
LN606820_1	LN590509	yes	12176	13664	1488	no
CDSB01000001_1	CDMB01000001	yes	11072	17538	6466	yes
HF997618_1	JAHOOM010000027	yes	12075	12700	625	no
DJMX01000002_1	DBJN01000006	yes	10021	12119	2098	no
JNHP01000132_1	JNHQ01000057	yes	1552	3092	1540	no
NFLA01000001_1	NFKR01000001	yes	7518	13051	5533	yes
LVPP01000067_1	NODO01000016	yes	7818	12339	4521	yes
CP007628_1	CP016207	yes	7585	12997	5412	yes
MNTT01000014_1	HF999533	yes	1	5875	5874	yes
CP022690_1	VFLX01000001	yes	6908	11356	4448	yes
NLUT01000003_1	OEDM01000020	yes	7836	12385	4549	yes
LJZQ01000011_1	AXBW01000026	yes	0	0	0	no
NMBT01000003_1	NLVH01000010	yes	7818	12343	4525	yes
AZJH01000001_1	UGTN01000001	yes	7496	13699	6203	yes
CP015229_1	LNHR01000137	yes	8070	12662	4592	yes
FR888562_1	LARD01000006	yes	7378	12803	5425	yes
JRNN01000063_1	NZ_ADEG01000016	yes	6255	6965	710	no
AUJK01000002_1	CACWQJ010000068	no				no
CP010122_1	NOHH01000017	yes	7010	11463	4453	yes
MAHS01000003_1	CP016373	yes	13494	15487	1993	no
MAHQ01000003_1	MAHV01000001	yes	7531	11950	4419	yes
CBRG010000178_1	AVGI01000332	no				no
CZAI01000003_1	CP041230	yes	7792	9540	1748	no
NOBE01000024_1	NZ_GG749139	yes	7818	12321	4503	yes
NZ_ADEG01000016_1	PNGJ01000003	yes	7477	13881	6404	yes
CDMB01000001_1	CDMB01000001	yes	345	444	99	no
MZBN01000005_1	28901.2959.con.0001	yes	8164	12727	4563	yes
DJPW01000052_1	DKEG01000043	yes	7648	14145	6497	yes
NZ_GL872283_1	CP032056	yes	7258	14265	7007	yes
CDLW01000001_1	CDQJ01000001	yes	16865	19521	2656	no
CYFD01000013_1	CYFR01000027	yes	16022	20359	4337	yes
NLKE01000049_1	562.22707.con.0011	yes	7836	12355	4519	yes
NZ_GG704781_1	NZ_GG704780	yes	12255	12688	433	no
LOPO01000097_1	UCWD01000054	yes	8131	12308	4177	yes
DJOY01000025_1	DJPW01000052	yes	15272	15361	89	no
CYFR01000027_1	NLKE01000049	yes	9679	9852	173	no
CDLY01000001_1	CDLY01000001	yes	118	217	99	no
DBYY01000007_1	DFCL01000056	yes	8746	13590	4844	yes
CP016373_1	VTFI01000003	yes	17895	21427	3532	no
MNBW01000014_1	JQFU01000011	yes	6293	19268	12975	yes
AQCH01000070_1	LNWE01000003	yes	7752	13535	5783	yes
NZ_DS995510_1	LRGC01000013	yes	10334	13177	2843	no
JNHP01000065_1	WKMF01000007	yes	6700	11325	4625	yes
FQUC01000005_1	SOML01000001	yes	6714	12877	6163	yes
LFQU01000051_1	HF992559	yes	5338	5968	630	no
NOFF01000026_1	NOFB01000022	yes	7818	12321	4503	yes
CDLX01000001_1	CDLX01000001	yes	102	201	99	no
CDLS01000001_1	CDLS01000001	yes	158	257	99	no
DJSK01000012_1	DBKH01000049	yes	7844	14332	6488	yes
NJSK01000007_1	LNHR01000137	yes	8070	12662	4592	yes
LPZD01000010_1	NZ_AAJV02000015	yes	7058	7057	-1	no
NOGE01000022_1	PGKG01000024	yes	8021	12524	4503	yes
MAGZ01000012_1	MAHF01000008	yes	7564	11897	4333	yes
JVQR01000241_1	CAAKNR010000141	yes	574	3378	2804	no
CDQJ01000001_1	CDQJ01000001	yes	1518	1837	319	no
CDRW01000001_1	CDRW01000001	yes	132	231	99	no
CZAG01000003_1	LBCF01000005	yes	7002	11811	4809	yes
FMFB01000002_1	CP041230	yes	12497	14476	1979	no
NZ_GG704780_1	NZ_GG704781	yes	12228	12661	433	no
JNHQ01000100_1	WKMC01000005	yes	7219	11844	4625	yes
NWRV01000002_1	FZGS01000006	yes	7847	12321	4474	yes
NFHT01000024_1	JAGYXY010000001	yes	2250	10400	8150	yes
LUJM01000115_1	AGDG01000040	no				no
ARBZ01000001_1	CP003667	yes	1059	11851	10792	yes
LT160614_1	CP039303	yes	7801	12129	4328	yes
DHOP01000076_1	DBQL01000233	no				no
AYJR01000048_1	CM001512	yes	8081	13466	5385	yes
CDMD01000001_1	CDMD01000001	yes	99	198	99	no
FR893014_1	CZAG01000001	yes	1	4509	4508	yes
LPYE01000173_1	BGDQ01000151	yes	8023	12513	4490	yes
NMJO01000040_1	PGKG01000024	yes	7818	12321	4503	yes
BAJX01000022_1	AFXP01000018	yes	7340	13369	6029	yes
