insertion_finder v2.2.0
Query file: /home/oocyst/insertion_finder/fasta/katanvirinae.fasta
Database file: /usr/local/genome/databases/patric/microviridae_Patric.fasta
Element length: 4000-50000
Query coverage: 30-90
Maximum block distance: 50
Number of threads: 18
Element color: [255, 0, 0]

Query ID	Subject ID	Element identification	Element 5' coordinate	Element 3' coordinate	Element length	Valid
UCBT01000010_1	LT009739	yes	4860	5778	918	no
UBVP01000023_1	CP032923	yes	7526	9817	2291	no
UBJJ01000006_1	WJOL01000002	yes	6926	8806	1880	no
UCJE01000001_1	QSNW01000002	yes	7513	13465	5952	yes
UCHW01000004_1	WJOL01000002	yes	11326	13206	1880	no
UBSM01000003_1	WJOL01000002	yes	11181	13060	1879	no
UEHP01000003_1	LMGN01000011	yes	9963	13763	3800	no
UCKX01000006_1	CP039888	yes	6862	7924	1062	no
UCMP01000002_1	LT009739	yes	14213	15131	918	no
UCNT01000005_1	WJOL01000002	yes	6926	8806	1880	no
UCID01000013_1	QSNW01000002	yes	6569	12521	5952	yes
UCCT01000001_1	WJOL01000002	yes	6926	8806	1880	no
UBTO01000001_1	WJOL01000002	yes	6926	8806	1880	no
UEGU01000015_1	LT009739	yes	14213	15131	918	no
UBJU01000006_1	WJOL01000002	yes	6926	8806	1880	no
PGTC01000017_1	AFPM01000156	yes	12949	14359	1410	no
UBNJ01000012_1	WJOL01000002	yes	11326	13206	1880	no
UBMP01000028_1	JACIBQ010000010	no				no
UBSX01000010_1	WJOL01000002	yes	11326	13206	1880	no
UBTW01000009_1	WJOL01000002	yes	11326	13206	1880	no
UCEJ01000005_1	WJOL01000002	yes	6926	8805	1879	no
PVBG01000001_1	PVBL01000009	yes	7523	20360	12837	yes
UCIZ01000008_1	WJOL01000002	yes	6926	8805	1879	no
UCGM01000006_1	WJOL01000002	yes	6926	8806	1880	no
UBXH01000007_1	WJOL01000002	yes	6926	8806	1880	no
UBRZ01000021_1	CP021371	yes	6173	6443	270	no
UCDE01000019_1	WJOL01000002	yes	6926	8806	1880	no
UBLC01000026_1	WJOL01000002	yes	6926	8805	1879	no
UICO01000009_1	CP039888	yes	15737	17542	1805	no
UBOL01000015_1	WJOL01000002	yes	11181	13060	1879	no
UEGZ01000045_1	JACIBQ010000010	no				no
UBUI01000001_1	WJOL01000002	yes	6926	8806	1880	no
UBYJ01000012_1	WJOL01000002	yes	11326	13206	1880	no
UCLI01000001_1	WJOL01000002	yes	11181	13060	1879	no
QITQ01000003_1	NHTQ01000001	yes	7418	14634	7216	yes
UBUF01000003_1	LT009739	yes	4860	5778	918	no
PHJF01000001_1	WPZN01000001	yes	4989	16001	11012	yes
UBYQ01000001_1	WJOL01000002	yes	11326	13206	1880	no
UBYD01000001_1	LT009739	yes	4860	5778	918	no
QKLQ01000002_1	CP013107	yes	6426	12392	5966	yes
UBZI01000007_1	LT009739	yes	14213	15131	918	no
UBRW01000003_1	WJOL01000002	yes	6926	8806	1880	no
UCCL01000012_1	WJOL01000002	yes	11181	13060	1879	no
UBXJ01000012_1	WJOL01000002	yes	6926	8806	1880	no
AP014801_1	CP020385	yes	7332	11086	3754	no
UBOI01000009_1	WJOL01000002	yes	11181	13060	1879	no
UBTD01000025_1	CP032923	yes	7526	9817	2291	no
UCOE01000005_1	WJOL01000002	yes	6926	8806	1880	no
PXYL01000009_1	SURY01000015	yes	2663	2839	176	no
UBSC01000005_1	LT009739	yes	4860	5778	918	no
UCBN01000002_1	WJOL01000002	yes	6926	8806	1880	no
UCCP01000006_1	LT009739	yes	4860	5778	918	no
UBKN01000010_1	LT009739	yes	14213	15131	918	no
UEHM01000002_1	WJOL01000002	yes	6926	8806	1880	no
UBXW01000014_1	CP032923	yes	4206	6497	2291	no

Processed 55 queries with 6 valid elements
Duration: 0:33:03.574632
