Query file: elements.fasta
Database file: patric/Rhodo_Rhizo.fasta
Element length: 5000-150000
query ID	subject ID	element identification	element 5' coordinate	element 3' coordinate	element length	valid
AP014801_1	AP014801	no				no
PGTC01000017_1	FWFN01000002	no				no
PHJF01000001_1	AXBI01000017	yes	4986	16004	11018	yes
PVBG01000001_1	FXAF01000011	yes	7410	20717	13307	yes
PXYL01000009_1	CP017105	yes	1015	2884	1869	no
QITQ01000003_1	NHTQ01000001	yes	7418	14634	7216	yes
QKLQ01000002_1	CP005950	yes	5196	13174	7978	yes
UBJJ01000006_1	JYFU01000029	yes	7433	7921	488	no
UBJU01000006_1	JYFU01000029	yes	7433	7921	488	no
UBKN01000010_1	LT009727	yes	6610	12490	5880	yes
UBLC01000026_1	JYFU01000029	yes	7418	7923	505	no
UBMP01000028_1	no hits	no				no
UBNJ01000012_1	JYFU01000029	yes	12211	12699	488	no
UBOI01000009_1	JYFU01000029	yes	12063	12568	505	no
UBOL01000015_1	JYFU01000029	yes	12063	12568	505	no
UBRW01000003_1	JYFU01000029	yes	7433	7921	488	no
UBRZ01000021_1	CP021371	yes	6173	6443	270	no
UBSC01000005_1	LT009727	yes	7501	13381	5880	yes
UBSM01000003_1	JYFU01000029	yes	12063	12568	505	no
UBSX01000010_1	JYFU01000029	yes	12211	12699	488	no
UBTD01000025_1	LN999993	yes	1500	9817	8317	yes
UBTO01000001_1	JYFU01000029	yes	7433	7921	488	no
UBTW01000009_1	JYFU01000029	yes	12211	12699	488	no
UBUF01000003_1	LT009727	yes	7501	13381	5880	yes
UBUI01000001_1	JYFU01000029	yes	7433	7921	488	no
UBVP01000023_1	LN999993	yes	1500	9817	8317	yes
UBXH01000007_1	JYFU01000029	yes	7433	7921	488	no
UBXJ01000012_1	JYFU01000029	yes	7433	7921	488	no
UBXW01000014_1	LN999993	yes	4206	12523	8317	yes
UBYD01000001_1	LT009727	yes	7501	13381	5880	yes
UBYJ01000012_1	JYFU01000029	yes	12211	12699	488	no
UBYQ01000001_1	JYFU01000029	yes	12211	12699	488	no
UBZI01000007_1	LT009727	yes	6610	12490	5880	yes
UCBN01000002_1	JYFU01000029	yes	7433	7921	488	no
UCBT01000010_1	LT009727	yes	7501	13381	5880	yes
UCCL01000012_1	JYFU01000029	yes	12063	12568	505	no
UCCP01000006_1	LT009727	yes	7501	13381	5880	yes
UCCT01000001_1	JYFU01000029	yes	7433	7921	488	no
UCDE01000019_1	JYFU01000029	yes	7433	7921	488	no
UCEJ01000005_1	JYFU01000029	yes	7418	7923	505	no
UCGM01000006_1	JYFU01000029	yes	7433	7921	488	no
UCHW01000004_1	JYFU01000029	yes	12211	12699	488	no
UCID01000013_1	LT009727	yes	6401	12521	6120	yes
UCIZ01000008_1	JYFU01000029	yes	7418	7923	505	no
UCJE01000001_1	LT009727	yes	7513	13633	6120	yes
UCKX01000006_1	LT009727	yes	6610	12484	5874	yes
UCLI01000001_1	JYFU01000029	yes	12063	12568	505	no
UCMP01000002_1	LT009727	yes	6610	12490	5880	yes
UCNT01000005_1	JYFU01000029	yes	7433	7921	488	no
UCOE01000005_1	JYFU01000029	yes	7433	7921	488	no
UEGU01000015_1	LT009727	yes	6610	12490	5880	yes
UEGZ01000045_1	no hits	no				no
UEHM01000002_1	JYFU01000029	yes	7433	7921	488	no
UEHP01000003_1	LMGN01000011	yes	9963	13763	3800	no
UICO01000009_1	LXKY01000001	yes	6564	12491	5927	yes
